Rider ID,Active Rider Age,Average Partner Rating,Number of Ratings
16261,308,21.05,321
8832,224,10,27
53866,238,17.76,25
46368,343,24.56,320
45609,399,14.97,214
50485,336,24.83,60
53521,371,19.84,119
68080,259,24.66,59
48070,322,10,10
49335,168,21.27,125
16859,357,24.29,56
24794,217,20.52,100
46874,322,10,35
41377,245,11.59,268
28037,336,10,1
99935,183,19.68,107
65573,280,20.88,144
61088,315,6.14,14
61157,336,15.33,59
1817,357,17.23,86
33971,259,16.89,173
93311,149,20.64,120
17227,336,24.54,129
37467,371,10,7
32660,315,19.64,51
76038,224,19.36,50
68057,119,7.25,118
34247,329,20.54,79
25254,329,11.56,10
7567,322,14.06,12
58857,287,19.02,130
61134,210,19.98,478
71093,231,23.49,13
52716,238,10,3
29118,266,13.12,98
25553,252,22.62,210
73922,238,21.57,45
50025,273,22.13,247
100050,178,23.06,203
56787,150,7.69,13
85606,189,21.78,3
44643,238,10,1
5980,287,18.78,308
33649,273,24.6,50
55844,217,10,32
85721,196,20.9,7
43125,329,20.69,21
34684,329,10,50
76153,154,23.35,137
49473,146,24,39
86250,210,23.49,13
20769,154,23.57,88
33143,273,24.92,123
101131,137,18.66,150
40756,210,10,1
61801,238,11.56,40
96531,168,23.76,175
34339,224,19.66,244
5290,252,10,1
93817,154,24.46,79
36225,245,22.03,61
86020,154,21.54,39
79925,210,4,4
75532,196,24.43,35
54234,252,23.84,34
26036,322,17.03,140
65803,210,24.68,63
25944,147,9,26
80132,161,16.63,23
70196,224,10,1
99268,197,12.34,41
98325,168,24.85,268
56764,189,17.68,3
26910,203,16.35,7
79948,224,24.51,61
10120,294,10,1
46989,231,24.4,33
32775,252,24.38,48
48553,224,10,3
56442,217,7.67,39
70150,231,23.92,55
40158,161,17.26,244
36363,196,20.54,274
73554,168,7.64,394
21827,273,23.06,97
61916,152,18.19,248
7383,231,10,16
85675,147,22.22,267
101108,102,19.37,62
39008,196,13.44,3
36271,168,24.77,88
80385,168,20.68,73
8441,151,24.08,7
73830,154,10,22
59961,159,20.49,94
10925,175,20.51,54
57454,189,19.3,36
5428,175,22.88,348
21735,294,10,53
26243,182,14.9,151
76406,189,21.16,45
60237,196,3.43,61
37858,203,19.84,270
37145,198,18.96,58
100648,167,18.51,47
58926,147,19.81,107
87492,182,22.4,142
98624,150,21.78,6
59018,182,17.79,23
13478,175,16,13
54763,158,18.29,67
91241,154,9.4,207
76774,188,20.15,47
24035,140,23.37,121
46184,231,15.05,332
57500,210,10,28
101959,167,9.15,16
58006,146,18.68,194
51474,140,8.94,102
66125,182,23.96,57
23506,231,19.65,60
11569,196,15.65,115
96324,147,23.54,27
21022,198,24.85,68
12029,210,23.42,30
62468,176,24.94,157
71208,196,19.54,52
53015,155,17.87,84
96876,197,11.08,64
72772,203,21.44,65
98992,185,24.82,144
71116,170,19.48,90
52233,224,22.75,13
94668,161,10,7
36432,301,19.36,5
100441,177,4.28,530
24679,217,10,16
59409,210,19.36,5
41883,161,10.67,15
68609,159,24.88,144
56396,196,10,1
44114,294,11.16,44
38203,273,24.65,162
61571,130,23.86,76
54855,172,22.39,3
23736,167,15.32,3
92529,130,24.79,516
72565,179,14.03,170
16123,186,4,1
93426,180,15.64,22
74888,164,13.32,20
64929,147,20.66,270
66447,140,20.25,4
46138,378,10,1
69943,157,17.03,283
52992,141,9.1,184
72703,140,18.9,209
65090,147,17.64,5
105915,122,10,32
72427,154,11.89,429
64009,224,22.77,35
98486,144,11.11,3
68678,154,16,4
100510,152,19.12,160
40181,165,22.68,21
45724,176,10,2
25668,189,10,6
20838,161,21.96,94
24058,161,24.06,21
103132,159,23.94,93
34914,138,18,330
60766,122,23.96,19
6532,195,20.75,63
84180,168,22.83,18
14283,120,17.75,420
63365,164,22.96,24
54648,105,20.04,195
28336,175,10,11
82248,134,23.04,5
52164,118,18.11,107
37996,158,14.06,8
60076,210,20.64,161
61433,161,22.95,125
20401,168,10,9
59800,129,20.88,195
7958,154,1,1
41561,294,16,1
102212,162,16.28,189
93633,167,10,2
36915,147,23.46,342
85652,159,13.14,8
58673,86,23.68,178
36616,151,20.4,251
66378,187,9,4
34661,154,10,3
73094,180,17.45,234
82294,175,22.89,190
92322,171,24.42,120
26726,196,19.84,33
51888,152,15.72,485
68862,173,21.56,182
85951,168,22.87,78
15939,161,8.59,58
77855,182,18.46,47
56511,96,16.46,178
7061,150,10,2
74635,147,4.3,47
63572,120,9.32,227
64676,123,12.36,65
87377,129,10,1
10281,153,24.26,127
93909,157,24.91,116
20079,183,6.34,402
71346,79,24.43,169
105823,91,19.56,26
75854,134,16.32,190
86066,131,10,3
47035,161,20.38,195
67160,147,10,20
106030,139,17.19,217
11799,154,9,1
111343,89,22.66,167
91287,136,16.87,121
74037,135,16.22,59
93610,189,24.43,70
26358,168,17.44,327
93955,104,21.28,1
80707,109,13.44,3
100855,138,21.41,150
52670,168,16.3,27
48691,86,17.37,21
105133,125,10,15
80776,108,6.99,263
106352,104,13.04,251
93587,176,24.31,43
105685,124,17.32,45
52923,67,22.24,262
100372,121,17.41,59
63342,172,23.77,72
24081,160,17.85,44
68770,162,24.99,22
90689,182,18.79,131
86158,113,24.03,287
102051,152,10,1
93932,194,17.58,493
80822,110,16.9,12
65757,93,23.3,40
86135,94,16.97,26
56672,161,10,1
4324,162,22.34,21
70495,154,22.22,42
78453,136,10,1
85031,92,24.89,253
66401,160,24.51,82
59501,185,8.35,18
58972,163,8.03,6
104144,129,16.79,51
19987,93,12.13,269
86181,167,16,1
100349,135,21.63,44
21666,168,23.88,44
85629,112,19.51,45
70104,95,24.21,101
95381,114,20.03,93
36386,107,23.65,22
78637,168,10,2
85767,150,24.85,80
75440,189,13.49,64
12259,160,19.6,63
48484,66,13.56,13
71231,114,18.63,32
99958,122,24.03,51
52141,136,17.64,230
98532,166,23.27,17
67505,89,17.96,61
36593,119,21.16,5
97313,158,10,1
16606,111,16.28,528
84088,171,22.83,9
57845,183,18.78,3
80615,164,10,15
101407,112,1,1
97681,120,14.06,12
56488,102,17.96,478
13616,140,10,1
72450,162,23.2,49
45241,142,21.03,151
60743,94,15.85,21
95795,77,24.9,181
55131,108,13.03,440
36317,106,11.11,3
66240,119,19.41,130
59432,70,20.41,273
37260,145,16.45,152
95703,168,4.52,8
107111,104,10,39
62376,155,16.04,48
87124,166,16.23,35
57615,172,9,2
97980,155,10,20
28175,177,10,1
40894,125,16.63,88
70127,142,10,2
64653,55,15.36,291
105892,102,22.53,83
42895,88,21.97,53
99130,108,20.35,6
85997,81,17.92,142
70242,143,19.61,63
98164,119,23.73,93
51060,57,23.74,315
90597,65,15.52,172
61019,104,23.96,19
100142,131,17.26,72
29739,96,21.72,52
21597,158,23.68,15
69092,147,19.79,147
70035,142,21.42,76
103569,81,7.56,199
38433,105,23.16,173
30222,92,17.51,246
62330,88,10,1
73278,147,14.45,145
34362,125,9.34,69
32407,70,9.33,439
56120,105,22.88,57
25576,140,16.62,10
102166,126,19.78,105
95312,107,23.48,55
