iter	Accuracy	MultiClass
0	0.5586581696	1.071948138
1	0.5692076751	1.042711851
2	0.5822520901	1.013966377
3	0.5975134301	0.9900281584
4	0.6012036722	0.9707668862
5	0.6025518962	0.9545114356
6	0.6029271751	0.9410083909
7	0.6033650004	0.9292565791
8	0.6042684495	0.9191887562
9	0.6055124294	0.9103951566
10	0.6061170453	0.9032843021
11	0.6068954014	0.8968139437
12	0.6064714753	0.8913337086
13	0.6074096725	0.8862477382
14	0.6078544474	0.8817290117
15	0.6084590633	0.8780461301
16	0.6087370477	0.8749178524
17	0.6094806558	0.871795232
18	0.6097933881	0.8692342511
19	0.6101617174	0.8665915295
20	0.6100157756	0.8645541058
21	0.610488349	0.8625784471
22	0.6111207633	0.8608248931
23	0.6112250075	0.8590972302
24	0.6112319571	0.857854039
25	0.6114543445	0.8562695814
26	0.611801825	0.8551013757
27	0.6121284566	0.8540492348
28	0.6122674487	0.8528432945
29	0.6125662819	0.8518652869
30	0.6126010299	0.8508992494
31	0.6127261229	0.850080893
32	0.6131222506	0.8491011766
33	0.6134488822	0.8482244525
34	0.6134280333	0.8475566657
35	0.6135739751	0.8467104749
36	0.6139701028	0.8460394894
37	0.613984002	0.8454183084
38	0.6144009785	0.8446785641
39	0.6146998117	0.8439719004
40	0.6152071331	0.8432591844
41	0.6155337647	0.8421313054
42	0.6155268151	0.8418196762
43	0.6158742955	0.8409888348
44	0.6162843224	0.8405006508
45	0.6163816169	0.8400899696
46	0.616645702	0.839193569
47	0.6166735004	0.8385157181
48	0.6170070817	0.838093
49	0.6169375856	0.8376665328
50	0.6171182754	0.8372739781
51	0.6173406629	0.8367043615
52	0.6173823605	0.8363269067
53	0.6176533952	0.8361541579
54	0.6176881433	0.8357142244
55	0.6177715386	0.8354780073
56	0.6178410347	0.8349441796
57	0.6181120694	0.8346604819
58	0.6182719104	0.8341277301
59	0.6183831041	0.8338521636
60	0.6185081971	0.8336224784
61	0.6185707435	0.8333949906
62	0.618758383	0.8331629704
63	0.6188348287	0.8329129017
64	0.6188348287	0.8326855328
65	0.6190711153	0.8324621172
66	0.619112813	0.8322384772
67	0.6191336618	0.8319810557
68	0.6193560493	0.8316782332
69	0.6194185958	0.8314493982
70	0.6200510101	0.8303450344
71	0.6200371109	0.830117575
72	0.6202525488	0.8298153872
